Timestamp(us), ax, ay, az, gx, gy, gz
26845245,-46,44,2039,-9,-7,-2
26865234,-48,44,2036,-11,-6,-3
26885223,-47,47,2036,-11,-8,-3
26905212,-47,48,2040,-10,-7,-3
26925201,-47,45,2037,-11,-7,-3
26945190,-48,46,2034,-11,-7,-3
26965179,-48,47,2038,-10,-9,-3
26985168,-48,47,2032,-10,-8,-2
27005157,-50,48,2036,-11,-8,-3
27025146,-47,45,2037,-11,-7,-4
27045135,-48,49,2031,-11,-7,-2
27065124,-47,46,2031,-10,-8,-3
27085113,-47,48,2037,-11,-8,-3
27105102,-49,45,2036,-12,-8,-3
27125091,-47,47,2031,-10,-7,-3
27145080,-45,50,2036,-11,-7,-3
27165069,-48,48,2036,-11,-7,-2
27185058,-46,49,2035,-10,-7,-2
27205047,-49,47,2032,-10,-8,-3
27225036,-46,44,2034,-11,-8,-2
27245025,-47,47,2035,-11,-8,-3
27265014,-48,50,2036,-10,-7,-2
27285003,-46,48,2040,-11,-7,-3
27304992,-48,45,2034,-11,-8,-2
27324981,-45,46,2038,-11,-8,-3
27344970,-45,47,2040,-11,-8,-3
27364959,-48,46,2037,-11,-9,-3
27384948,-48,46,2034,-10,-8,-3
27404937,-47,45,2034,-11,-7,-3
27424926,-44,48,2033,-11,-7,-2
27444915,-47,48,2038,-11,-8,-2
27464904,-48,46,2033,-11,-7,-3
27484893,-46,46,2035,-11,-7,-2
27504882,-45,48,2035,-10,-7,-3
27524871,-46,45,2033,-11,-8,-3
27544860,-47,47,2034,-11,-7,-3
27564849,-45,46,2037,-10,-8,-3
27584838,-47,46,2034,-12,-9,-3
27604827,-46,47,2035,-10,-8,-3
27624816,-47,46,2033,-10,-7,-3
27644805,-47,44,2036,-11,-8,-3
27664794,-48,46,2033,-11,-8,-3
27684783,-43,46,2033,-10,-8,-3
27704772,-45,46,2038,-10,-8,-3
27724761,-48,47,2040,-10,-7,-3
27744750,-45,50,2035,-11,-7,-3
27764739,-50,49,2037,-11,-7,-2
27784729,-47,49,2038,-11,-7,-2
27804718,-48,47,2038,-11,-7,-3
27824707,-48,48,2037,-11,-7,-3
27844696,-46,46,2035,-11,-7,-2
27864685,-47,47,2036,-11,-8,-2
27884674,-45,46,2038,-11,-7,-3
27904663,-48,45,2037,-10,-8,-2
27924652,-45,46,2036,-10,-8,-2
27944641,-47,47,2039,-11,-7,-3
27964630,-46,46,2033,-10,-7,-3
27984619,-45,46,2034,-10,-7,-3
28004608,-48,46,2039,-10,-7,-2
28024597,-50,46,2036,-11,-7,-2
28044586,-49,49,2032,-11,-7,-3
28064575,-46,48,2035,-10,-7,-3
28084564,-46,45,2035,-10,-7,-3
28104553,-45,46,2035,-12,-8,-3
28124542,-47,44,2037,-12,-7,-3
28144531,-44,46,2035,-11,-8,-2
28164520,-49,48,2037,-11,-8,-2
28184509,-48,46,2038,-10,-7,-4
28204498,-46,47,2036,-9,-7,-3
28224487,-47,45,2036,-11,-7,-2
28244476,-46,43,2038,-11,-7,-3
28264465,-47,45,2036,-10,-7,-2
28284454,-47,43,2035,-10,-7,-3
28304443,-46,44,2034,-10,-8,-4
28324432,-47,47,2032,-10,-7,-3
28344421,-47,50,2032,-10,-7,-2
28364410,-48,51,2034,-11,-7,-2
28384399,-49,49,2035,-10,-7,-2
28404388,-44,48,2035,-9,-7,-2
28424377,-45,44,2038,-11,-7,-3
28444366,-45,46,2034,-11,-7,-3
28464355,-47,46,2034,-10,-7,-2
28484344,-49,47,2035,-10,-7,-2
28504333,-47,46,2035,-11,-8,-2
28524322,-45,46,2034,-10,-7,-2
28544311,-45,47,2037,-11,-7,-2
28564300,-47,47,2036,-11,-7,-2
28584289,-45,47,2033,-10,-7,-2
28604278,-47,49,2038,-11,-8,-2
