Timestamp(us), ax, ay, az, gx, gy, gz
1432332763,-896,764,1653,6,15,9
1432352752,-897,765,1653,5,16,7
1432372741,-898,768,1652,4,14,7
1432392730,-903,771,1651,5,14,5
1432412719,-902,774,1650,5,14,4
1432432708,-895,774,1650,4,16,4
1432452697,-892,775,1647,6,15,6
1432472686,-896,770,1649,9,15,10
1432492675,-897,771,1653,11,14,12
1432512664,-899,771,1649,10,12,10
1432532653,-899,772,1647,10,11,7
1432552642,-898,778,1644,12,13,5
1432572631,-896,782,1647,14,19,1
1432592620,-900,776,1649,15,22,-1
1432612609,-902,776,1644,16,22,-3
1432632598,-901,776,1635,18,21,-1
1432652587,-904,781,1643,20,17,0
1432672576,-909,779,1650,20,11,0
1432692565,-908,779,1645,19,15,-5
1432712554,-902,780,1640,17,15,-6
1432732543,-904,782,1639,16,13,-5
1432752532,-905,786,1636,17,10,-10
1432772521,-898,787,1640,14,7,-10
1432792510,-904,785,1642,12,5,-9
1432812500,-901,783,1643,11,6,-10
1432832489,-899,784,1638,8,8,-10
1432852478,-902,784,1644,8,8,-8
1432872467,-903,781,1641,4,4,-8
1432892456,-902,782,1636,1,5,-9
1432912445,-904,782,1639,-1,4,-9
1432932434,-909,783,1634,-3,5,-9
1432952423,-908,783,1641,-4,6,-9
1432972412,-911,783,1638,-9,6,-7
1432992401,-909,783,1634,-11,3,-7
1433012390,-910,782,1643,-13,-1,-6
1433032379,-906,786,1636,-14,0,-4
1433052368,-906,786,1644,-16,0,-9
1433072357,-902,783,1640,-16,2,-16
1433092346,-904,781,1640,-15,5,-19
1433112335,-911,780,1639,-16,5,-19
1433132324,-908,781,1636,-17,0,-20
1433152313,-912,774,1637,-15,-7,-19
1433172302,-915,773,1635,-15,-7,-18
1433192291,-914,775,1637,-15,-7,-14
1433212280,-913,773,1638,-15,-6,-12
1433232269,-908,778,1641,-14,-5,-13
1433252258,-907,775,1638,-12,-3,-15
1433272247,-907,775,1639,-15,-3,-19
1433292236,-909,776,1641,-14,-5,-17
1433312225,-909,781,1640,-16,-9,-16
1433332214,-908,777,1641,-19,-13,-16
1433352203,-911,778,1644,-24,-13,-16
1433372192,-905,776,1645,-28,-12,-15
1433392181,-898,771,1642,-28,-15,-8
1433412170,-907,773,1648,-26,-13,-2
1433432159,-910,775,1646,-27,-11,-2
1433452148,-907,770,1645,-30,-12,-4
1433472137,-900,773,1644,-31,-12,-4
1433492126,-904,776,1648,-30,-13,-3
1433512115,-909,776,1646,-31,-13,-7
1433532104,-898,771,1642,-32,-14,-11
1433552093,-899,766,1647,-32,-18,-11
1433572082,-902,764,1653,-31,-18,-12
1433592071,-897,767,1650,-30,-6,-11
1433612060,-896,764,1654,-28,-4,-10
1433632049,-903,761,1654,-29,-3,-11
